iter	Passed	Remaining
399	84370	126555
400	84526	126262
401	84701	125998
402	84920	125800
403	85107	125555
404	85257	125255
405	85405	124953
406	85559	124659
407	85714	124369
408	85993	124259
409	86169	124000
410	86336	123727
411	86496	123446
412	86653	123161
413	86809	122875
414	86973	122600
415	87150	122345
416	87320	122081
417	87473	121793
418	87634	121517
419	87784	121226
420	87935	120937
421	88094	120660
422	88247	120374
423	88403	120094
424	88554	119809
425	88712	119532
426	88869	119255
427	89033	118988
428	89209	118738
429	89375	118475
430	89543	118214
431	89716	117961
432	89869	117681
433	90037	117421
434	90184	117136
435	90333	116853
436	90475	116562
437	90607	116258
438	90737	115953
439	90872	115656
440	91022	115377
441	91165	115091
442	91294	114787
443	91426	114489
444	91572	114208
445	91723	113934
446	91893	113684
447	92052	113422
448	92204	113150
449	92342	112863
450	92496	112595
451	92632	112306
452	92768	112018
453	92905	111731
454	93043	111447
455	93196	111182
456	93341	110906
457	93475	110619
458	93614	110338
459	93768	110076
460	93904	109792
461	94040	109510
462	94177	109229
463	94317	108953
464	94457	108676
465	94584	108386
466	94715	108101
467	94857	107829
468	94992	107550
469	95130	107275
470	95257	106987
471	95402	106721
472	95549	106458
473	95674	106170
474	95814	105900
475	95952	105628
476	96101	105368
477	96228	105086
478	96364	104813
479	96516	104559
480	96650	104286
481	96794	104024
482	96942	103766
483	97094	103514
484	97231	103245
485	97378	102988
486	97541	102748
487	97683	102487
488	97822	102223
489	97966	101964
490	98113	101710
491	98258	101453
492	98415	101210
493	98566	100960
494	98692	100686
495	98828	100422
496	98978	100173
497	99122	99918
498	99259	99657
499	99395	99395
500	99541	99144
501	99661	98867
502	99801	98610
503	99939	98353
504	100082	98100
505	100217	97840
506	100350	97579
507	100493	97328
508	100661	97102
509	100935	96977
510	101078	96726
511	101247	96501
512	101414	96275
513	101619	96083
514	101809	95879
515	101966	95642
516	102138	95421
517	102293	95183
518	102449	94948
519	102610	94717
520	102830	94541
521	102985	94304
522	103148	94076
523	103314	93851
524	103480	93625
525	103636	93391
526	103788	93153
527	103935	92911
528	104093	92681
529	104231	92431
530	104378	92190
531	104531	91956
532	104686	91723
533	104833	91483
534	104988	91251
535	105137	91014
536	105297	90786
537	105429	90535
538	105577	90299
539	105721	90059
540	105870	89823
541	106021	89589
542	106171	89356
543	106319	89120
544	106461	88880
545	106616	88651
546	106766	88419
547	106944	88209
548	107090	87974
549	107245	87746
550	107406	87523
551	107571	87304
552	107716	87069
553	107873	86843
554	108024	86614
555	108171	86381
556	108312	86144
557	108433	85891
558	108582	85662
559	108730	85431
560	108862	85188
561	109019	84965
